"Seccion","Modulo","Submodulo","Tipo","Descripcion","Funcionamiento","Relaciones","Reglas_Logicas","Archivos_Relacionados","Tablas_Base_Datos","Providers_Servicios","Endpoints_Backend","Flujo_Proceso","Riesgos_Consideraciones","Estado_Actual","Notas_Tecnicas"
"Suscripciones y planes","Planes","Trial y precios","Funcional","Controla planes SaaS para negocios: Basico, Crecimiento y Empresarial con ciclos mensual, trimestral y anual.","Catalogos en Flutter y backend definen precios USD, limites de colaboradores y descuentos; SubscriptionRepository conserva estado local.","Negocio requiere suscripcion; colaboradores consumen cupo; Personal no paga.","Trial gratis 30 dias; trimestral 10%; anual 20%; limites por plan.","lib/core/constants/subscription_plans.dart; backend/src/FiadoApp.Api/Subscriptions/SubscriptionPlanCatalog.cs; lib/data/repositories/subscription_repository.dart; SUBSCRIPTION_PRICING.md","subscriptions; Subscription; SubscriptionPayments; PaymentMethods","SubscriptionRepository; SubscriptionBillingService; PaymentService backend","/api/subscriptions/activate-trial; /api/subscriptions/status; /api/payments/subscription","Seleccion plan -> trial/pago -> validar acceso negocio -> dashboard.","Precios divergentes entre Flutter y backend.","Implementado con catalogos y pagos preparados.","Precios oficiales documentados en ARCHITECTURE.md."
"Suscripciones y planes","Pagos","Mock Stripe Azul","Tecnico","Infraestructura de pagos para suscripciones con proveedor mock y preparacion Stripe/Azul.","PaymentService backend selecciona proveedor por configuracion; Flutter tiene pantallas de metodos e historial.","Pagos se relacionan con Business, Subscription, PaymentMethod, SubscriptionPayment, PaymentTransaction y webhook logs.","No guardar datos sensibles de tarjeta; usar tokens/proveedores externos.","backend/src/FiadoApp.Api/Payments/*; lib/data/services/payment_service.dart; lib/screens/payment_methods_screen.dart; lib/screens/billing_history_screen.dart","PaymentMethods; SubscriptionPayments; PaymentTransactions; PaymentWebhookLogs; subscriptions","PaymentService; StripeBillingService; AzulPaymentService; SubscriptionBillingService","/api/payments/methods; /api/payments/history; /api/payments/mock/*; /api/payments/stripe/*; /api/payments/azul/*","Usuario negocio abre pago -> backend crea sesion/token/cargo -> actualiza suscripcion.","Webhooks mal configurados o credenciales productivas/de prueba mezcladas.","Mock y proveedores preparados.","No se modificaron integraciones."
"Clientes","Gestion de clientes","CRUD","Funcional/Tecnico","Modulo para crear, editar, listar y consultar clientes por negocio.","ClienteRepository y ClientRepositoryImpl consultan SQLite; CloudClientSyncService sincroniza con backend.","Clientes se relacionan con movimientos, comprobantes, credito_ciclos, client_scores y deuda total.","Telefono unico por negocio; mismo telefono puede existir en negocios distintos; usar cliente_id estable y snapshots historicos.","lib/data/repositories/cliente_repository.dart; lib/data/repositories/client_repository_impl.dart; lib/data/models/cliente_sqlite_model.dart; lib/screens/clientes_screen.dart; backend/src/FiadoApp.Api/Controllers/ClientsController.cs","clientes; movimientos; comprobantes; credito_ciclos; client_scores","clientesProvider; clienteRepositoryProvider; CloudClientSyncService","GET/POST/PUT /api/clients; POST /api/clients/sync/push; POST /api/clients/sync/pull","Formulario cliente -> SQLite clientes -> sync_queue -> push clients -> remote_id -> pull.","Duplicados por telefono si falta negocio_id; relaciones legacy por nombre.","Implementado y sincronizado.","Client identity integrity prioriza cliente_id."
"Deudas","Movimientos","Deuda simple y pagos","Funcional","Registra fiados y pagos como movimientos financieros por cliente y negocio.","MovimientoRepository inserta tipo deuda o pago, actualiza saldos y puede disparar ciclos/comprobantes.","Movimientos dependen de clientes y negocio_id; deuda_items extiende movimientos; comprobantes referencian movimiento_id.","Deuda aumenta saldo; pago reduce saldo/ciclo; snapshots conservan nombre/telefono.","lib/data/repositories/movimiento_repository.dart; lib/data/models/movimiento_sqlite_model.dart; lib/screens/detalle_cliente_screen.dart; backend/src/FiadoApp.Api/Controllers/MovementsController.cs","movimientos; clientes; pagos; credito_ciclos; comprobantes","movimientoRepositoryProvider; CloudMovementSyncService","GET /api/movements/client/{clientId}; POST/PUT /api/movements; POST /api/movements/sync/*","Seleccion cliente -> deuda/pago -> SQLite movimientos -> saldos/ciclos -> cola sync.","Saldo incorrecto si pago afecta ciclo equivocado o movimiento queda sin cliente_id.","Implementado.","La tabla pagos existe, pero movimientos tipo pago es flujo moderno."
"Detalle de articulos fiados","Deuda con productos","deuda_items","Funcional/Tecnico","Asocia productos, cantidades, precios unitarios y subtotales a una deuda.","AgregarDeudaDialog usa productos facturables; al guardar crea movimiento y deuda_items, descuenta inventario y puede generar comprobante.","deuda_items se relaciona con movimientos y productos; comprobantes reconstruyen mercancias desde deuda_items si falta payload.","Si monto final manual es menor al subtotal, registra pago informativo de abono inicial; productos deben tener precio.","lib/screens/widgets/agregar_deuda_dialog.dart; lib/data/repositories/deuda_item_repository.dart; lib/data/repositories/billable_product_query.dart; DEBT_ITEMS_RECEIPT_QA.md","deuda_items; movimientos; productos; comprobantes; credito_ciclos","billableProductsProvider; DeudaItemRepository; CloudMovementSyncService","POST /api/debt-items/sync/push; POST /api/debt-items/sync/pull; GET /api/movements/{movementId}/debt-items","Seleccion articulos -> subtotal -> movimiento + items + stock -> comprobante -> sync.","Productos sin precio, stock negativo o doble descuento.","Implementado con QA dedicada.","BillableProductQuery es fuente unica para articulos facturables."
"Pagos","Ciclos de credito","30/45/60","Regla de negocio","Agrupa fiados por cliente-negocio en ciclos con vencimiento 30, mora 45 y bloqueo 60.","CreditoCicloRepository crea/actualiza ciclos cuando se registran deudas y pagos.","Ciclos se relacionan con clientes, movimientos, recordatorios, excepciones y score.","Primera deuda abre ciclo; deudas dentro de 30 dias entran al mismo; pagos aplican al ciclo mas viejo; saldo cero cierra ciclo.","lib/data/repositories/credito_ciclo_repository.dart; lib/data/models/credito_ciclo_sqlite_model.dart; lib/screens/cuentas_por_cobrar_screen.dart; backend/src/FiadoApp.Api/Controllers/CreditCyclesController.cs","credito_ciclos; credito_ciclo_movimientos; credito_recordatorios; credito_excepciones; movimientos","CreditoCicloRepository; CloudCreditCycleSyncService; CollectionMessageService","/api/credit-cycles/client/{clientId}; /api/credit-cycles/accounts-receivable; /api/credit-cycles/overdue-45; /api/credit-cycles/blocked-60; /api/credit-cycles/sync/*","Crear deuda -> resolver ciclo -> actualizar saldo/fechas -> pagos reducen -> sync.","No cambiar fecha_inicio ni limites al pagar; riesgo financiero alto.","Implementado.","Backend persiste estado calculado por Flutter."
"Inventario","Productos","CRUD y stock","Funcional/Tecnico","Gestiona productos por negocio con cantidad, costo, precio de venta, margen, categoria, ubicacion, codigo y estado.","ProductoRepository guarda en SQLite, filtra negocio_id y encola cambios; CloudProductSyncService sincroniza.","Productos se relacionan con imagenes, deuda_items, auditoria_items, inventory_product_metrics y campanas WhatsApp.","Productos no globales; codigo_referencia unico por negocio activo; precio puede calcularse desde costo + margen.","lib/data/repositories/producto_repository.dart; lib/data/models/producto_sqlite_model.dart; lib/screens/inventario_screen.dart; backend/src/FiadoApp.Api/Controllers/ProductsController.cs","productos; producto_imagenes; deuda_items; auditoria_items; inventory_product_metrics","productosProvider; productoRepositoryProvider; CloudProductSyncService","GET/POST/PUT /api/products; POST /api/products/sync/push; POST /api/products/sync/pull","Crear/editar producto -> SQLite -> sync_queue -> backend -> pull.","Duplicados por codigo/nombre sin negocio_id; inventario incorrecto si deuda descuenta dos veces.","Implementado y sincronizado.","Inventario por negocio esta documentado como regla critica."
"Imagenes de inventario","Producto imagen","Metadata y contenido","Funcional/Tecnico","Permite hasta 3 imagenes por producto, optimizadas y asociadas al negocio/producto.","ProductoImagenRepository guarda rutas y metadata; ProductImageOptimizerService reduce a 500x500; InventoryMediaSyncService sincroniza contenido cuando aplica.","Imagenes se relacionan con productos por producto_id/product_uuid y se muestran en tarjetas, campanas y previews.","Maximo 3 imagenes; JPG/PNG; metadata incluye mime_type, size_bytes, width, height, content_hash y content_available.","lib/data/repositories/producto_imagen_repository.dart; lib/data/services/product_image_optimizer_service.dart; lib/data/services/inventory_media_sync_service.dart; backend/src/FiadoApp.Api/Controllers/InventoryImagesSyncController.cs","producto_imagenes; productos","ProductoImagenRepository; ProductImageOptimizerService; InventoryMediaSyncService","/api/products/images/sync/*; /api/sync/inventory/images/push; /api/sync/inventory/images/pull; /api/sync/inventory/images/{imageUuid}/content; /api/sync/inventory/images/content/push","Seleccion imagen -> optimizar -> guardar local_path/metadata -> miniatura -> sync metadata/contenido.","Rutas locales no disponibles en otro dispositivo; endpoint inventory/images vs inventory_images.","Implementado con diagnosticos y rutas duales.","Backend tiene rutas de compatibilidad."
"Auditorias","Auditoria diaria","Validacion diaria","Funcional","Permite validar stock fisico diario contra sistema.","InventarioScreen crea auditoria diaria, registra items y finaliza cuando todos tienen cantidad.","auditorias pertenece a negocio_id/colaborador_id; auditoria_items referencia productos.","Colaborador puede ejecutar; una auditoria diaria completada queda marcada por fecha.","lib/screens/auditoria_screen.dart; lib/screens/inventario_screen.dart; lib/data/repositories/auditoria_repository.dart","auditorias; auditoria_items; productos; usuarios","auditoriaRepositoryProvider; auditoriasColaboradorProvider","/api/audits/sync/*; /api/audit-items/sync/*","Iniciar diaria -> crear cabecera -> validar productos -> finalizar -> sync.","Auditoria incompleta si se pierde item o cambia producto.","Implementado.","La UI muestra pendientes de auditoria."
"Auditorias","Auditoria semanal","Validacion semanal","Funcional","Permite una validacion semanal adicional cuando corresponde.","InventarioScreen detecta disponibilidad semanal por semana calendario y crea auditoria de tipo semanal.","Comparte tablas y servicios con auditoria diaria.","No debe repetirse si ya fue completada en la misma semana.","lib/screens/inventario_screen.dart; lib/screens/auditoria_reportes_screen.dart; lib/data/services/cloud_audit_sync_service.dart","auditorias; auditoria_items","auditoriaRepositoryProvider; CloudAuditSyncService","GET /api/audits/business/report; GET /api/audits/my","Validar disponibilidad semanal -> crear -> registrar items -> reportar -> sync.","Diferencias de fecha/semana por zona horaria.","Implementado.","Zona local del usuario puede importar para QA."
"Solicitudes de autorizacion","Aprobaciones","Cambios sensibles","Funcional/Tecnico","Gestiona peticiones de colaboradores para cambios que el negocio debe aprobar o rechazar.","SolicitudAutorizacionRepository crea solicitudes con datos antes/despues; pantallas de negocio muestran pendientes; endpoints deciden.","Se relaciona con negocio_id, colaborador_id, entidad, entidad_id y cambio solicitado.","Estados: pendiente, aprobado, rechazado; aprobacion registra usuario aprobador, comentario y resolved_at.","lib/data/repositories/solicitud_autorizacion_repository.dart; lib/screens/solicitudes_pendientes_screen.dart; backend/src/FiadoApp.Api/Controllers/AuthorizationRequestsController.cs","solicitudes_autorizacion; usuarios; productos","solicitudAutorizacionRepositoryProvider; CloudAuthorizationRequestSyncService","GET /api/authorization-requests/pending; GET /api/authorization-requests/my; POST /api/authorization-requests/sync/*; POST /api/authorization-requests/{id}/approve; POST /api/authorization-requests/{id}/reject","Colaborador pide cambio -> sync -> negocio decide -> estado vuelve al colaborador.","Cambio aplicado antes de aprobacion o sin validar negocio/entidad.","Implementado y sincronizado.","Conviene aplicacion atomica al aprobar."
"Colaboradores","Gestion","Altas y limites","Funcional","Permite registrar y administrar colaboradores asociados a un negocio.","Negocio registra colaborador local/cloud; colaborador ingresa con rol propio y opera bajo negocio_id.","Usuarios tipo colaborador referencian usuarios.negocio_id; solicitudes y auditorias usan colaborador_id.","Limite de colaboradores depende del plan; colaborador no paga suscripcion.","lib/screens/gestionar_colaboradores_screen.dart; lib/screens/colaborador_dashboard_screen.dart; backend/src/FiadoApp.Api/Controllers/AuthController.cs","usuarios; subscriptions; solicitudes_autorizacion; auditorias","AuthRepository; CloudAuthService","POST /api/auth/register/collaborator","Negocio crea colaborador -> validar limite -> usuario activo -> login colaborador.","Exceder limite si validacion local/cloud no coincide.","Implementado.","No se detecto controller separado de collaborators; registro vive en AuthController."
"Portal Personal","Deudas personales","Recordatorios","Funcional","Muestra al usuario Personal saldos por negocio y orientacion de pago.","PersonalDebtGuidanceService agrupa movimientos y ciclos por telefono autenticado y genera prioridad suave.","Relaciona movimientos, comprobantes y ciclos sin exponer inventario ni datos internos del negocio.","Solo datos propios por telefono; no usa backend nuevo ni envio automatico.","lib/screens/personal_portal_screen.dart; lib/screens/personal_debt_reminders_screen.dart; lib/personal_debt_guidance/*","movimientos; comprobantes; credito_ciclos; usuarios","PersonalDebtGuidanceService","No hay endpoint especifico actual","Login personal -> cargar deuda propia -> mostrar resumen/detalle.","Privacidad por telefono compartido o mal normalizado.","Implementado local.","Telefono dominicano debe normalizarse con cuidado."
"Comprobantes PDF","Recibos","Generacion y compartir","Funcional/Tecnico","Genera comprobantes internos para deudas y pagos, con PDF imprimible y compartible.","ComprobanteRepository guarda payload_json y saldos; ComprobantePdfService genera PDF con formatter monetario.","Comprobantes referencian movimiento_id, negocio_id, cliente y codigo unico; pueden reconstruir items desde deuda_items.","codigo_comprobante unico; PDF no altera datos; total y saldo deben coincidir con movimiento.","lib/data/repositories/comprobante_repository.dart; lib/data/services/comprobante_pdf_service.dart; lib/screens/comprobante_screen.dart; backend/src/FiadoApp.Api/Controllers/ReceiptsController.cs","comprobantes; movimientos; deuda_items; clientes","ComprobanteRepository; ComprobantePdfService; CloudReceiptSyncService","GET /api/receipts/client/{clientId}; GET /api/receipts/{id}; GET /api/receipts/code/{code}; POST /api/receipts/sync/*","Crear deuda/pago -> comprobante -> ver -> PDF -> compartir/imprimir -> sync.","Payload desactualizado o saldos no coincidentes.","Implementado.","MoneyFormatter centraliza formato monetario."
"Campanas de WhatsApp","Estados","Flyers y publicaciones","Funcional","Permite crear publicaciones de productos para Estados de WhatsApp sin API oficial.","WhatsappCampaignRepository selecciona productos activos con stock; renderer crea imagenes; share_plus abre el menu; usuario confirma estado.","Campanas usan productos, producto_imagenes y negocio_id; imagenes renderizadas se guardan en whatsapp_campaign_publications.","Texto maximo 30 caracteres; cupo se consume al abrir WhatsApp/share; confirmacion es manual.","lib/data/repositories/whatsapp_campaign_repository.dart; lib/data/services/whatsapp_status_campaign_service.dart; lib/data/services/whatsapp_status_image_renderer.dart; backend/src/FiadoApp.Api/Controllers/WhatsappCampaignsController.cs","whatsapp_campaign_publications; productos; producto_imagenes","WhatsappCampaignRepository; WhatsappStatusCampaignService; CloudWhatsappCampaignSyncService","POST /api/whatsapp-campaigns/sync/push; POST /api/whatsapp-campaigns/sync/pull","Seleccion productos -> render flyers -> share sheet -> confirmar -> guardar estado -> sync.","La app no controla publicacion real en WhatsApp.","Implementado local y sync.","No usa API oficial de WhatsApp."
"Sincronizacion automatica","AutoSyncService","Orquestacion","Tecnico","Ejecuta sincronizacion automatica con debounce, lock interno y deteccion de conexion.","Procesa modulos como clientes, productos, imagenes, movimientos, deuda_items, comprobantes, ciclos, auditorias, autorizaciones y campanas.","Consume sync_queue y servicios Cloud*SyncService; estado visible se resume para usuario.","No debe correr sin token/businessId cuando el modulo requiere cloud.","lib/data/services/auto_sync_service.dart; lib/data/services/cloud_*_sync_service.dart","sync_queue; sync_outbox; sync_state; tablas de dominio","AutoSyncService; Cloud*SyncService","Endpoints sync por modulo","Evento/cambio/conexion -> autosync -> push/pull por modulo -> estado actualizado.","Lock mal manejado puede causar procesos simultaneos o bloqueo.","Implementado.","La pantalla avanzada conserva diagnosticos."
"Sync queue legacy","sync_queue","Cola por entidad","Tecnico","Cola historica de cambios locales pendientes por entity_type/entity_id/operation/payload.","Repositorios escriben pending; servicios cloud especificos leen y marcan synced/failed.","Se relaciona con tablas sincronizables por entity_type; no tiene business_id propio.","Estados: pending, synced, updated, deleted, failed; attempts y last_error para diagnostico.","lib/data/repositories/sync_queue_repository.dart; lib/data/models/sync_queue_item_model.dart; lib/data/services/legacy_sync_queue_diagnostics.dart","sync_queue","SyncQueueRepository; LegacySyncQueueDiagnostics","Endpoints sync especificos por modulo","Cambio local -> insert sync_queue -> AutoSyncService procesa -> update status.","Errores failed persistentes y datos sin confirmar.","Activo por compatibilidad.","La UX normal oculta detalles tecnicos."
"Sync v2","sync_outbox","Outbox y state","Tecnico","Base nueva de sincronizacion generica por modulo, business_id y entity_uuid.","SyncOutboxRepository guarda operaciones; SyncEngine hace push/pull via SyncEndpointRegistry; SyncStateRepository conserva marcas.","sync_outbox se relaciona con modulos y entidades por UUID; sync_state resume por business_id + module.","Requiere token cloud, businessId y deviceId; no procesa si falta autenticacion.","lib/data/repositories/sync_outbox_repository.dart; lib/data/repositories/sync_state_repository.dart; lib/data/services/sync_engine.dart; lib/data/services/sync_endpoint_registry.dart","sync_outbox; sync_state","SyncEngine; SyncEndpointRegistry; SyncDeviceIdentityService","/api/sync/{module}/push; /api/sync/{module}/pull","Operacion local -> sync_outbox -> registry -> push -> pull -> sync_state.","Contratos incompatibles o envios duplicados si convive mal con sync_queue.","Implementado como base nueva.","DatabaseSchema v28 agrego estas tablas; version actual 29."
"Estados visibles de sincronizacion","Sync UX","Pantallas","Funcional","Muestra al usuario estados humanos: online, sincronizando, pendientes, ultima sync y errores amigables.","SyncStatusScreen usa diagnosticos y AutoSyncService; SyncAdvancedSettingsScreen conserva detalles tecnicos.","Combina sync_outbox, sync_queue, token, businessId, sessionVersion y errores recientes.","Pantalla normal no debe exponer JWT, payload ni endpoints.","lib/screens/sync_status_screen.dart; lib/screens/sync_advanced_settings_screen.dart; lib/data/repositories/sync_status_diagnostics_repository.dart; lib/widgets/sync_cloud_indicator.dart","sync_queue; sync_outbox; sync_state; sesiones","SyncUserStatus; SyncStatusDiagnosticsRepository; AutoSyncService","No aplica directo","Usuario toca sincronizar -> AutoSyncService -> pantalla actualiza estado.","Ocultar demasiado puede dificultar soporte; avanzada debe conservar diagnostico.","Implementado.","SYNC_UX_SIMPLIFICATION.md documenta el enfoque."
